Ref,Val,Package,PosX,PosY,Rot,Side
"J2","Conn_02x06_Odd_Even","PinHeader_2x06_P2.54mm_Vertical",130.290000,-77.210000,180.000000,bottom
"J4","Conn_02x06_Odd_Even","PinHeader_2x06_P2.54mm_Vertical",130.290000,-54.360000,180.000000,bottom
"J5","Conn_02x06_Odd_Even","PinHeader_2x06_P2.54mm_Vertical",205.280000,-66.980000,0.000000,bottom
"J6","Conn_02x06_Odd_Even","PinHeader_2x06_P2.54mm_Vertical",205.280000,-89.850000,0.000000,bottom
"C1","100nF","C_0402_1005Metric",191.960000,-83.450000,90.000000,top
"C2","22uF","C_0603_1608Metric",191.950000,-85.950000,-90.000000,top
"C3","100nF","C_0402_1005Metric",198.140000,-46.590000,-90.000000,top
"C4","100nF","C_0402_1005Metric",199.830000,-46.630000,-90.000000,top
"C8","22uF","C_0603_1608Metric",186.570000,-85.860000,-90.000000,top
"C9","100nF","C_0402_1005Metric",186.570000,-83.330000,90.000000,top
"J1","Conn_02x20_Odd_Even","PinHeader_2x20_P2.54mm_Vertical",132.360000,-96.540000,90.000000,top
"J3","Conn_02x20_Odd_Even","PinHeader_2x20_P2.54mm_Vertical",132.300000,-50.500000,90.000000,top
"R1","10K","R_0402_1005Metric",199.160000,-50.660000,-90.000000,top
"R2","10K","R_0402_1005Metric",200.920000,-50.690000,-90.000000,top
"R3","10K","R_0402_1005Metric",184.410000,-93.080000,180.000000,top
"R4","10K","R_0402_1005Metric",184.330000,-94.440000,180.000000,top
"R5","10K","R_0402_1005Metric",184.330000,-95.730000,180.000000,top
"R6","10K","R_0402_1005Metric",184.340000,-97.020000,180.000000,top
"SLOT1","2-2013289-1","SODIMM-204",167.700000,-59.900000,-90.000000,top
"SW1","SW_Push","SW_SPST_TL3342",186.680000,-47.990000,90.000000,top
"SW2","SW_Push","SW_SPST_TL3342",193.660000,-47.690000,90.000000,top
"SW3","SW_Push_SPDT","SW_Push_1P2T_Vertical_E-Switch_800UDP8P1A1M6",193.200000,-93.680000,-90.000000,top
"SW4","SW_Push_SPDT","SW_Push_1P2T_Vertical_E-Switch_800UDP8P1A1M6",201.970000,-93.790000,-90.000000,top
"U1","XC6206P152MR","SOT-23-3",189.230000,-83.850000,90.000000,top
